id,event,time(ms),content,mode
1,keyPressed,0,16777220,1
1,keyPressed,1194,16777248,1
1,keyPressed,327,84,1
1,keyPressed,90,72,1
1,keyPressed,698,16777220,1
1,keyPressed,659,32,1
1,wordTyped,3068,The,1
1,keyPressed,73,70,1
1,keyPressed,50,73,1
1,keyPressed,252,86,1
1,keyPressed,77,69,1
1,keyPressed,375,32,1
1,wordTyped,865,five,1
1,keyPressed,410,66,1
1,keyPressed,593,16777220,1
1,keyPressed,665,32,1
1,wordTyped,1734,boxing,1
1,keyPressed,176,87,1
1,keyPressed,75,73,1
1,keyPressed,128,90,1
1,keyPressed,246,16777220,1
1,keyPressed,490,32,1
1,wordTyped,1157,wizards,1
1,keyPressed,143,74,1
1,keyPressed,123,85,1
1,keyPressed,190,77,1
1,keyPressed,114,80,1
1,keyPressed,232,16777220,1
1,keyPressed,486,32,1
1,wordTyped,1292,jump,1
1,keyPressed,266,86,1
1,keyPressed,79,69,1
1,keyPressed,51,82,1
1,keyPressed,165,89,1
1,keyPressed,248,16777220,1
1,keyPressed,474,32,1
1,wordTyped,1359,very,1
1,keyPressed,143,81,1
1,keyPressed,70,85,1
1,keyPressed,266,73,1
1,keyPressed,313,16777220,1
1,keyPressed,292,46,1
1,wordTyped,1098,quickly,1
1,sentenceTyped,10753,he five boxing wizards jump very quickly.,1
1,testFinished,10753,he five boxing wizards jump very quickly.,1
